ID,Subject,Malaysian,JB,Vote,SchStudy
F220081C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
F220146C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree)
D220024A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
B210076B,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree)
B220173C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
F220087C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220074C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220074C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220141B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree)
B210192C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree)
B220091B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
F220032B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree)
F220088C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree)
F220113C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220014A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F210051C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
B220180C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
F220139C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220099C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
B220164C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree)
F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
D200026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
F220123C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220148C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
D220101B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
B190196C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree)
B210086B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
F220086C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220047B,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
ep190021,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
B220186C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree)
F220007A,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
D200104B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220159C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220159C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
D220103B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
F220080C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220101C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220080C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220101C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220014A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,No (Disagree)
D220002A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
